@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric

@data
1,'2018/05/10 09:46:52:341',1,11.323242,404.632721,-14.681076,40.165222,396.681824,14.795406,118.500244,401.279968,22.032503,206.228668,393.868408,22.302944,291.002747,397.304993,16.518269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,'2018/05/10 09:46:52:390',1,12.556335,405.00531,-14.688148,40.912598,396.746704,14.845341,118.204071,401.023865,22.070248,205.646057,393.775482,22.391956,291.150879,397.257874,16.651802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,'2018/05/10 09:46:52:440',1,-21.049164,401.981506,-13.283939,33.027405,394.844269,15.709263,115.45755,400.133331,21.839449,203.567581,394.015839,20.988317,283.168365,398.579224,14.135223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,'2018/05/10 09:46:52:488',1,-8.705292,406.970734,-14.10434,33.51062,394.836853,15.049328,113.707092,399.181824,21.760746,202.746002,393.014648,21.384979,284.512848,398.448853,15.07399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,'2018/05/10 09:46:52:537',1,-4.010834,402.779449,-14.27729,35.07962,394.755402,15.011269,114.775116,400.181488,21.826633,204.003967,394.119202,21.643471,286.2854,398.889893,15.418816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,'2018/05/10 09:46:52:586',1,1.743408,405.259094,-14.324646,37.215179,395.787964,15.001682,116.194977,400.70105,21.983858,205.253723,394.265564,21.946392,288.388306,399.138672,15.891441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,'2018/05/10 09:46:52:635',1,-0.995361,409.15683,-13.818836,36.802032,396.199829,15.369179,116.414825,400.398621,22.290913,205.379654,394.187805,22.099628,288.169525,399.402832,15.962753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,'2018/05/10 09:46:52:682',1,-6.816193,404.977509,-13.554581,36.588531,395.705109,15.589897,117.276581,400.803406,22.234968,206.439407,394.793427,21.831114,288.03479,399.420074,15.41069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,'2018/05/10 09:46:52:731',1,-3.352966,405.013092,-13.766987,38.211426,396.333313,15.434586,118.045441,401.370483,22.139135,207.274048,395.296875,21.843601,289.445099,399.80957,15.50864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,'2018/05/10 09:46:52:780',1,-8.024261,401.039734,-13.780136,36.279236,394.82254,15.383156,116.544586,401.104706,21.966644,205.990753,396.03244,21.572212,287.372986,400.924377,15.108185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,'2018/05/10 09:46:52:830',1,-14.238312,402.126282,-13.258766,35.910339,394.909119,15.726406,117.915985,401.020813,22.078869,207.010193,395.665405,21.376646,286.91452,400.805206,14.67263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,'2018/05/10 09:46:52:881',1,-3.354462,409.098083,-13.364784,38.925537,397.235535,15.744011,119.239166,401.123322,22.441832,208.0242,394.423279,22.052919,289.989044,399.060638,15.71962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,'2018/05/10 09:46:52:931',1,-10.797882,401.771423,-13.22171,36.549103,396.317139,15.89529,117.626526,401.934265,22.316595,206.806564,395.65741,21.779581,287.546326,399.788269,15.179401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
